Document type;Document description
abk.passport.internal.type1;Abkhazia passport (green background,front)
abk.passport.type1;Abkhazia Passport
afg.id.type1;Afghan ID Card (Afghan emblem centered on top, front)
afg.id.type2;Afganistan ID Card (Emblem of Afganistan in up-right connor), front
afg.passport.type1;Afghan passport (Afghan flag in the background)
ago.id.type1;Angolan ID Card (emblem of country in left-upper connor, borders of country in the right-upper connor), front
ago.id.type2;Angolan ID Card
ago.passport.type1;Angolan passport (Angolan emblem in the upper right corner)
aia.passport.type1;Anguilla passport
alb.drvlic.type1;Albanian Driving License (Albanian emblem in the background)
alb.drvlic.type2;Albanian Driving License (Borders of Albania in upleft connor), front
alb.id.type1;Albanian ID Card (Albanian emblem in the background, front side, Albanian emblem in the background and top-left corner, back side)
alb.passport.type1;Albanian passport (Albanian emblem in the background)
alb.passport.type2;Albanian passport (Albanian emblem in the background and top-left corner, red horizontal line along the entire document)
and.drvlic.type1;Andorran driving licence (the emblem of Andorra in the top- left corner, card-sized)
and.passport.type1;Andorran passport (the emblem of Andorra on the right side, main page)
and.passport.type2;Andorran passport (the emblem of Andorra on yellow-blue backstage in the middle of page, main page)
and.passport.type3;Andorran passport (the emblem of Andorra on yellow backstage in the middle of page, main page)
and.rp.type1;Andorran residence permit (the emblem of Andorra in the top- left corner, card-sized)
are.drvlic.aj.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the top-left corner)
are.drvlic.az.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the top-left corner, four lines of document name, front side)
are.drvlic.du.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the miidle on the top, front side)
are.drvlic.rk.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the top-right corner)
are.drvlic.sh.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the middle)
are.drvlic.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the top-left corner, two lines of document name, front side)
are.drvlic.uq.type1;United Arab Emirates driving licence (the emblem of United Arab Emirates in the top-left corner)
are.id.type1;United Arab Emirates ID Card (the emblem of United Arab Emirates on the top in the middle, front side)
are.passport.type1;United Arab Emirates Passport (the emblem of United Arab Emirates on the right-top corner, main page)
are.rp.type1;United Arab Emirates Residence Visa
are.wp.type1;United Arab Emirates Work Permit (the emblem of United Arab Emirates on the top in the middle, bar code on the bottom in the middle, front side)
arg.drvlic.type1;Argentinian drvlic card (photo on the left)
arg.id.type1;Argentina ID card (sun on the background, barcode on the right down corner, front side)
arg.id.type2;Argentian ID Card (grey background, number duplicate in right area, front)
arg.id.type3;Argentian ID Card (grey background, number duplicate in right area, front)
arg.passport.type1;Argentinian Passport (white background and fingerprint on the right)
arg.passport.type2;Argentinian Passport (blue-pink background and fingerprint on the right)
arg.passport.type3;Argentinian Passport (white background and second photo in background)
arg.passport.type4;Argentinian Passport (Argentinian emblem in the background)
arg.vrc.type1;Vehicle Registration of Argentina (barcode on the top, front side)
arm.drvlic.type1;Armenian Driving License (stamp with Armenian emblem on the right, front)
arm.drvlic.type2;Armenian Driving License (stamp with Armenian emblem on the right, front)
arm.id.type1;Armenian ID Card (Armenian emblem on the background, front)
arm.passport.type1;Armenian Passport (new type, main page)
arm.passport.type2;Armenian Passport (line of patterns on the top, main page)
arm.visa.type1;Armenian visa (RA mark in the bottom-left corner)
atg.drvlic.type1;Antigua and Barbuda driving license (emblem in the upper right corner and fingerprint place in the bottom right)
atg.id.type1;Antigua and Barbuda ID card (emblem in the upper right corner and flag in the upper left)
atg.passport.type1;Antigua and Barbuda passport (golographic birds and tortille on the background)
atg.passport.type2;Antigua and Barbuda passport (flowers on the background and signature on the right)
aus.drvlic.act.type1;Australian Driving License - Australian Capital Territory (a white flower with blue edging, front side)
aus.drvlic.nsw.type1;Australian Driving License - New South Wales (a flower on the background and a copy of personal photo in the bottom- left corner, front side)
aus.drvlic.nt.type1;Australian Driving License (header on a brown background and a flower on the background of the document, front side)
aus.drvlic.qld.type1;Australian Driving License (national coat of arms on the background and a chip on the left, front side)
aus.drvlic.sa.type1;Australian Driving License - South Australia (the emblem of South Australia on the background, front side)
aus.drvlic.tas.type1;Australian Driving License - Tasmania (mark of Tasmania in the top-right corner, front side)
aus.drvlic.tas.type2;Australian Driving License - Tasmania (mark of Tasmania Government in the bottom-right corner, front side)
aus.drvlic.vic.type1;Australian Driving License - Victoria (a pink flower on the background, front side)
aus.drvlic.wa.type1;Australian Driving License - Western Australia (a swan on the background, front side)
aus.drvlic.wa.type2;
aus.id.act.type1;Australian ID Card (inscription of the name of a document on the background, front side)
aus.id.act.type2;Australian Capital Territory ID Card (Coat of arms of Canberra on the background, front side)
aus.id.nsw.type1;New South Wales ID Card (blue background, second photo in left area, front)
aus.id.nt.type1;Australian Northern Territory ID Card (flower in the upper left, front side)
aus.id.nt.type2;Australian Northern Territory ID Card (flower on the background), front side)
aus.id.nt.type3;Australian Northern Territory ID Card (Evidence of age, 18 Plus Card, flower on the background, front side)
aus.id.qld.type1;Australian ID Card (emblem of state on background, front)
aus.id.sa.type1;South Australian ID Card (Eagle and the inscription South Australia on the background, front side)
aus.id.tas.type1;ID Catd of Tasmania (Emblem od tasmanian animal in right- upper connor, front)
aus.id.tas.type2;ID Catd of Tasmania (Emblem od tasmanian animal in right- down conor, front)
aus.id.type1;Australian ID Card (The inscription 'KEYPASS' at the top, front side)
aus.id.type2;Australian ID Card (The inscription 'Australia Post' at the top, front side)
aus.id.type3;Australian ID Card (crocodiles on the backgrounds, front side)
aus.id.vic.type1;Australian ID Card (inscription of the name of a document on the background, front side)
aus.id.wa.type1;
aus.passport.type1;Australian Passport (a personal photo on the background, main page)
aut.asylum.rp.type1;Austrian Asylum Residence Permit (white background, front)
aut.drvlic.type1;Austrian Driving License (personal photo on the left and top-right)
aut.drvlic.type2;Austrian Driving License (Austria emblem on the top)
aut.id.type1;Austrian ID Card (red stripes on the left, back, Austrian emplem on the left)
aut.passport.type1;Austrian passport (eagle in the top-left corner, main page)
aut.passport.type2;Austrian passport (eagle in the top-left corner, main page)
aut.rp.type1;Austrian Residence Permit (Austrian emblem on the left, front, vertical red inscription on the left, back)
aut.rp.type2;Austrian Residence Permit (Austrian emblem on the left and biometrical symbol on the top, front)
aut.rp.type3;Austrian Residence Permit (Austrian emblem left top, front, )
aut.rp.type4;Austrian Residence Permit (Austrian emblem left top and bottom, front, )
aut.visa.type1;Austrian Visa (Austrian sign in the top-right corner, main page)
aut.vrc.type1;Austrian Vehicle Registration Certificate (green background and chip on the left)
aze.drvlic.type1;Azerbaijan Driving License (AZ sign in the top-left corner and the name of document on the top in the middle, front side)
aze.drvlic.type2;Azerbaijan Driving License (AZ sign in the middle and the flag of Azerbaijan near it, front side)
aze.id.type1;Azerbaijan ID card (Azerbaijan's coat of arms in the top- left corner, front side)
aze.id.type2;Azerbaijan ID card (Azerbaijan's flag in the top-left corner, front side)
aze.passport.type1;Azerbaijan Passport (country name in different languages via slash, main page)
aze.passport.type2;Azerbaijan Passport (biometric symbol in the top-left corner and Azerbaijan's coat of arms on the right side, main page)
aze.vrd.type1;Azerbaijan Vehicle Registration Certificate (document without a personal photo, AZ sign in the top-left corner and the flag of Azerbaijan near it, main page)
barcode;
bdi.passport.type1;Birundi Passport (color background and photo on the left)
bdi.passport.type2;Birundi Passport (color background and photo on the left)
bdi.passport.type3;Birundi Passport (color background and photo on the left)
bel.drvlic.type1;Belgian Driving License (the sign of the European Union with letter B in the top-left corner and the contour of country on the bottom-right corner, front side)
bel.drvlic.type2;Belgian Driving License (the sign of the European Union with letter B in the top-left corner and the contour of country on the bottom-right corner, front side)
bel.drvlic.type3;Belgian Driving License (the sign of the European Union with letter B in the top-left corner and the contour of country under the personal photo, front)
bel.id.type1;Belgian ID Card (chip on the left, front side)
bel.id.type2;Belgian ID Card (chip on the right, back side)
bel.id.type3;Belgian ID Card (chip on the left, front side)
bel.passport.type1;Belgian Passport (old sample)
bel.passport.type2;Belgian Passport (new sample)
bel.rp.type1;Belgian Residence Permit (chip on the left, front side)
